,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
145,HS,2020,202006,June 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4942308,,,0
146,HS,2020,202006,June 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,3634236,,,0
147,HS,2020,202007,July 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,392034726,,,0
148,HS,2020,202007,July 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,421343545,,,0
149,HS,2020,202007,July 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,6533699,,,0
150,HS,2020,202007,July 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,5363974,,,0
151,HS,2020,202008,August 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,381533964,,,0
152,HS,2020,202008,August 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,440404547,,,0
153,HS,2020,202008,August 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,6744985,,,0
154,HS,2020,202008,August 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,5696692,,,0
155,HS,2020,202001,January 2020,2,0,1,Imports,152,Chile,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,126977357,,,0
156,HS,2020,202001,January 2020,2,0,2,Exports,152,Chile,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,38516339,,,0
157,HS,2020,202001,January 2020,2,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,56275,,,0
158,HS,2020,202001,January 2020,2,0,1,Imports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,136734393,,,0
159,HS,2020,202001,January 2020,2,0,2,Exports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,43551952,,,0
160,HS,2020,202002,February 2020,2,0,1,Imports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,116504985,,,0
161,HS,2020,202002,February 2020,2,0,2,Exports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4711429,,,0
162,HS,2020,202002,February 2020,2,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,86804,,,0
163,HS,2020,202003,March 2020,2,0,1,Imports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,102658235,,,0
164,HS,2020,202003,March 2020,2,0,2,Exports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,54276676,,,0
165,HS,2020,202003,March 2020,2,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1458,,,0
166,HS,2020,202001,January 2020,2,0,1,Imports,188,Costa Rica,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,42939731,,,0
167,HS,2020,202001,January 2020,2,0,2,Exports,188,Costa Rica,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,13398587,,,0
168,HS,2020,202002,February 2020,2,0,1,Imports,188,Costa Rica,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,39003315,,,0
169,HS,2020,202002,February 2020,2,0,2,Exports,188,Costa Rica,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14839868,,,0
170,HS,2020,202003,March 2020,2,0,1,Imports,188,Costa Rica,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,41865641,,,0
171,HS,2020,202003,March 2020,2,0,2,Exports,188,Costa Rica,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,15157768,,,0
172,HS,2020,202001,January 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,48449802,,,0
173,HS,2020,202001,January 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,15874403,,,0
174,HS,2020,202002,February 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,56219713,,,0
